2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
8,227,11,18,22,39
2,236,17,2,41,27
24,232,6,2,16,45
20,221,17,6,13,48
8,192,31,15,36,43
48,149,13,19,46,50
44,162,28,3,32,56
22,217,1,2,39,44
30,162,35,6,41,51
45,175,14,17,30,44
24,222,1,3,44,31
39,161,18,20,38,49
13,216,3,18,49,26
37,141,37,24,32,54
14,194,3,15,48,51
46,200,16,4,24,35
31,182,22,24,26,40
18,212,18,13,24,40
27,154,23,26,40,55
25,161,12,23,48,56
34,199,9,6,24,53
6,214,22,9,22,52
37,187,2,11,47,41
43,202,13,10,26,31
42,184,23,2,47,27
5,189,14,25,38,54
21,206,17,5,43,33
31,219,10,1,13,51
41,159,14,3,50,58
49,172,17,10,40,37
3,223,5,10,52,32
49,188,12,2,28,46
3,238,14,4,39,27
43,156,30,8,32,56
25,192,20,2,35,51
24,160,21,25,40,55
41,222,4,9,13,36
15,213,25,12,25,35
14,203,10,11,44,43
30,195,31,10,10,49
55,176,7,6,34,47
16,208,11,11,34,45
31,199,4,21,20,50
35,173,5,19,40,53
41,167,17,10,47,43
29,202,13,17,7,57
44,146,32,18,33,52
8,223,13,9,42,30
