2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
35,177,32,22,16,43
18,180,38,11,30,48
30,174,23,11,46,41
22,232,4,1,28,38
23,212,11,11,33,35
32,158,29,7,41,58
40,130,35,28,38,54
36,197,20,12,31,29
36,148,25,6,57,53
32,179,28,24,6,56
5,192,18,29,31,50
23,230,13,4,37,18
22,195,19,16,36,37
30,176,38,12,17,52
37,161,21,19,46,41
14,224,17,20,18,32
46,157,12,19,37,54
47,173,15,25,19,46
39,148,42,14,35,47
23,184,9,23,51,35
32,205,11,10,24,43
11,216,27,3,26,42
3,228,20,21,27,26
4,233,1,23,22,42
17,194,10,24,34,46
45,176,21,22,22,39
37,144,31,16,50,47
9,178,9,28,46,55
25,227,17,7,22,27
58,147,6,25,34,55
13,225,19,13,36,19
39,181,18,14,17,56
28,175,16,36,14,56
50,210,16,3,14,32
44,152,41,5,35,48
6,192,11,30,44,42
20,201,31,7,36,30
26,170,20,3,57,49
13,216,11,24,25,36
55,190,14,2,26,38
50,223,8,4,28,12
52,145,15,20,47,46
25,165,35,20,22,58
24,224,22,8,14,33
31,198,17,3,38,38
26,192,9,9,51,38
11,195,30,27,13,49
8,232,3,13,57,12
