2mM_PVP-stock,Water-stock,2mM_TA-stock,2mM_AA-stock,2mM_SN-stock,0.025mM_Seeds-stock
5,240,4,8,40,28
58,102,42,55,57,11
51,140,57,52,12,13
20,175,59,1,18,52
7,190,41,39,42,6
37,141,55,21,41,30
49,141,20,30,54,31
3,191,18,59,28,26
44,204,11,17,39,10
42,200,12,43,10,18
2,189,42,17,53,22
18,213,39,23,0,32
4,206,34,21,11,49
56,191,23,2,27,26
2,221,1,59,20,22
58,223,2,31,5,6
56,103,45,16,47,58
25,269,1,3,14,13
23,221,1,17,15,48
9,205,33,53,16,9
21,174,32,51,45,2
48,129,31,57,11,49
39,173,53,27,5,28
30,141,49,6,55,44
14,188,38,26,42,17
57,155,43,11,18,41
37,226,31,11,13,7
16,221,46,5,18,19
48,204,12,7,13,41
10,139,42,44,56,34
42,125,44,56,58,0
40,156,45,51,6,27
48,204,15,29,24,5
24,161,27,31,53,29
51,227,9,18,1,19
6,167,39,44,39,30
44,125,42,15,59,40
16,139,35,50,29,56
59,152,12,44,0,58
39,188,5,37,41,15
19,222,25,1,38,20
59,80,47,35,57,47
15,168,24,46,30,42
11,148,47,21,39,59
13,162,1,50,47,52
40,196,14,49,9,17
30,234,45,12,4,0
48,219,23,17,11,7
