X,Plate,Sample.Code,OleicAc.concentration.molarity,Oleylamine.concentration.molarity,CdAc.concentration.molarity,Se.concentration.molarity,Run_1_peak_position,Run_1_abs_avg,Run_1_Diameter,Run_2_peak_position,Run_2_peak_abs_avg,Run_2_Diameter,Run_3_peak_position,Run_3_peak_abs_avg,Run_3_Diameter,Avg_peak_position,Std_dev_peak_position,Avg_peak_intensity,Std_dev_peak_intensity,Avg_diameter,Std_dev_diameter,Run_1_FL_Peak_Intensity,Run_1_FL_Peak_Position,Run_2_FL_Peak_Intensity,Run_2_FL_Peak_Position,Run_3_FL_Peak_Intensity,Run_3_FL_Peak_Position,Avg_FL_Peak_Position,Avg_FL_Peak_Intensity,Std_dev_Peak_Position,Std_dev_Peak_Intensity,Run_1_Stokes_shift,Run_2_Stokes_shift,Run_3_Stokes_shift,Avg_Stokes_shift,Std_dev_Stokes_shift
10,1,1-A11,0,0,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1-A12,0,0,0.05,0.025,433,0.773333333,1.824666343,432,0.474333333,1.817019554,430,0.710666667,1.801637222,431.6666667,1.527525232,0.652777778,0.157681935,1.81444104,0.011729094,7465,567,7591,584,6538,578,576.3333333,7198,8.621678104,469.5167729,134,152,148,144.6666667,9.451631253
12,1,1-B1,0,0,0.05,0.05,435,0.740333333,1.839875115,431,0.349666667,1.80934343,430,0.682666667,1.801637222,432,2.645751311,0.590888889,0.210884996,1.816951922,0.020222536,6889,590,3520,609,5567,587,595.3333333,5325.333333,11.93035345,1385.963524,155,178,157,163.3333333,12.7410099
13,1,1-B2,0,0,0.05,0.075,438,0.689666667,1.862489266,433,0.473666667,1.824666343,432,0.645333333,1.817019554,434.3333333,3.214550254,0.602888889,0.114083952,1.834725054,0.0243466,8078,586,6854,605,6945,586,592.3333333,7292.333333,10.96965511,556.7910041,148,172,154,158,12.489996
14,1,1-B3,0,0,0.05,0.1,441,0.594,1.884887504,432,0.492333333,1.817019554,429,0.594,1.793900216,434,6.244997998,0.560111111,0.058697277,1.831935758,0.047292087,7857,586,9699,595,7598,598,593,8384.666667,6.244997998,935.3695645,145,163,169,159,12.489996
15,1,1-B4,0,0,0.075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1-B5,0,0,0.075,0.025,435,0.795666667,1.839875115,NA,NA,NA,429,0.709333333,1.793900216,432,4.242640687,0.7525,0.061046886,1.816887666,0.032509163,8617,564,2397,600,6410,590,584.6666667,5808,18.58314649,2574.736621,129,NA,161,145,22.627417
17,1,1-B6,0,0,0.075,0.05,435,0.779333333,1.839875115,429,0.502333333,1.793900216,430,0.734666667,1.801637222,431.3333333,3.214550254,0.672111111,0.148718352,1.811804184,0.024616015,8983,572,7696,607,6939,583,587.3333333,7872.666667,17.89785834,843.7583909,137,178,153,156,20.66397832
18,1,1-B7,0,0,0.075,0.075,439,0.663,1.869977986,437,0.519333333,1.854976529,433,0.651666667,1.824666343,436.3333333,3.055050463,0.611333333,0.079875598,1.849873619,0.023082808,8546,591,18659,562,7904,588,580.3333333,11703,15.94783162,4925.612855,152,125,155,144,16.52271164
19,1,1-B8,0,0,0.075,0.1,439,0.653,1.869977986,437,0.521333333,1.854976529,433,0.644,1.824666343,436.3333333,3.055050463,0.606111111,0.073557486,1.849873619,0.023082808,9885,595,18957,576,7888,587,586,12243.33333,9.539392014,4816.775708,156,139,154,149.6666667,9.291573243
