UV_ind,FL_ind,UV_PP,UV_PI,FL_PP,FL_PI,FL_SS
0,1,,,682.3333333,1070.0,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,570.6666667,1152.666667,
0,1,,,593.3333333,1521.666667,
0,1,,,626.3333333,1406.333333,
0,1,,,557.0,1595.0,
0,0,,,,,
0,1,,,632.6666667,1222.666667,
0,1,,,628.3333333,945.0,
0,1,,,630.3333333,1113.0,
0,1,,,637.3333333,755.6666667,
0,0,,,,,
0,1,,,659.3333333,465.3333333,
0,1,,,595.0,469.0,
0,1,,,597.3333333,600.6666667,
0,1,,,692.3333333,451.3333333,
0,0,,,,,
0,1,,,604.0,518.3333333,
0,1,,,631.6666667,230.0,
0,1,,,624.0,440.3333333,
0,1,,,635.0,232.6666667,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,1,,,515.0,1278.0,
0,1,,,501.6666667,889.3333333,
0,1,,,530.3333333,767.3333333,
0,1,,,525.3333333,930.6666667,
0,0,,,,,
0,1,,,582.3333333,725.3333333,
0,1,,,514.3333333,589.6666667,
0,1,,,651.6666667,203.6666667,
0,1,,,600.3333333,282.6666667,
0,0,,,,,
0,1,,,589.0,325.0,
0,1,,,599.0,255.3333333,
0,1,,,592.3333333,193.0,
0,1,,,640.3333333,209.0,
0,0,,,,,
0,1,,,689.6666667,184.3333333,
0,1,,,634.6666667,215.0,
0,1,,,690.6666667,167.6666667,
0,1,,,695.0,174.0,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
1,1,400.6666667,0.277222222,445.0,4838.0,44.33333333
1,1,401.0,0.326444444,447.0,6891.333333,46.0
1,1,401.6666667,0.352,446.3333333,8524.666667,44.66666667
1,1,401.3333333,0.393444444,444.3333333,9962.333333,43.0
0,0,,,,,
1,1,400.3333333,0.324,448.0,9392.0,47.66666667
1,1,401.0,0.388888889,448.0,13805.0,47.0
1,1,401.0,0.458222222,451.0,16366.0,50.0
1,1,400.6666667,0.473888889,448.3333333,17740.33333,47.66666667
0,0,,,,,
1,1,400.6666667,0.403555556,451.6666667,14818.33333,51.0
