CTAB,Water,GCH,AA,SN,GS
96,89,59,7,25,24
96,81,59,28,12,24
96,106,59,13,2,24
96,68,59,22,31,24
96,77,59,17,27,24
96,97,59,18,6,24
96,101,59,3,17,24
96,68,59,33,20,24
96,93,59,9,19,24
96,81,59,26,14,24
96,108,59,6,7,24
96,62,59,29,30,24
